,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
13,1C12,1B2,1F12,1B2,1C12,1C4,1B12,1G6,1E12,1B2,1B12,1G6,1C2,1C4,1A1,1C4,1G6,1B12,1B4,1C4,1B2,1B4,1B4,1B12,1C2,1B12,1A1,1C2,1C4,1B2,1G6,1B2
14,1G6,1F12,1B12,1F12,1E12,1G6,1B4,1B12,1C4,1E12,1C12,1E12,1E12,1B12,1B4,1C4,1B2,1A1,1F12,1C4,1B12,1A1,1E12,1A1,1B4,1G6,1F12,1E12,1C4,1C4,1G6,1G6
15,1C4,1C4,1F12,1E12,1B12,1C4,1C2,1A1,1C2,1B2,1B2,1G6,1B2,1B12,1F12,1E12,1C12,1E12,1B2,1C2,1B4,1B12,1F12,1B12,1G6,1F12,1C12,1E12,1C2,1F12,1B4,1G6
16,1E12,1F12,1C12,1B2,1A1,1A1,1F12,1B4,1F12,1E12,1C12,1A1,1F12,1F12,1F12,1B2,1B4,1B4,1G6,1G6,1F12,1E12,1C2,1E12,1B12,1G6,1A1,1G6,1G6,1B4,1B12,1B2
17,1C2,1C12,1C12,1C12,1C12,1C2,1B4,1G6,1A1,1B2,1B2,1B4,1B4,1F12,1G6,1B4,1B2,1B4,1B4,1C12,1A1,1B2,1G6,1F12,1E12,1C12,1G6,1A1,1C4,1B12,1E12,1C2
18,1G6,1C2,1G6,1C12,1A1,1C2,1A1,1E12,1G6,1C2,1E12,1B2,1G6,1G6,1F12,1F12,1G6,1E12,1B4,1A1,1E12,1G6,1B12,1C4,1G6,1C2,1C4,1F12,1A1,1E12,1G6,1B4
19,1G6,1C4,1B2,1F12,1G6,1C4,1F12,1B4,1G6,1C4,1B4,1B2,1E12,1F12,1E12,1A1,1E12,1B4,1B2,1B12,1A1,1C2,1C2,1G6,1G6,1C2,1C2,1G6,1A1,1E12,1E12,1A1
20,1C12,1B4,1G6,1A1,1B12,1F12,1F12,1F12,1B4,1A1,1E12,1C4,1C12,1F12,1B12,1E12,1C2,1B2,1E12,1C2,1C4,1G6,1A1,1A1,1B2,1B12,1A1,1B2,1B12,1A1,1G6,1B2
21,1C2,1B4,1G6,1C12,1E12,1B4,1B4,1G6,1B4,1C12,1C12,1C2,1C4,1C2,1G6,1F12,1F12,1C2,1C2,1B12,1B2,1A1,1B12,1C2,1A1,1E12,1F12,1E12,1B12,1A1,1B4,1C12
22,1C4,1C4,1A1,1C2,1A1,1C2,1E12,1A1,1F12,1C4,1E12,1G6,1B4,1C4,1G6,1C12,1B4,1A1,1E12,1E12,1B12,1B4,1B2,1C12,1B12,1B4,1C4,1B4,1C12,1B4,1B12,1F12
23,1B2,1F12,1A1,1C4,1C2,1F12,1A1,1B4,1C2,1B12,1C12,1B4,1B4,1E12,1B12,1F12,1E12,1E12,1G6,1C4,1F12,1A1,1G6,1B4,1C4,1C2,1A1,1B12,1C2,1B4,1B4,1B4
24,1E12,1E12,1C2,1B4,1A1,1G6,1C12,1F12,1B2,1G6,1B4,1B4,1B12,1E12,1C12,1F12,1B2,1B12,1F12,1E12,1C2,1C4,1C12,1E12,1F12,1C12,1E12,1C4,1B2,1B12,1B2,1B2
25,1C4,1C2,1C4,1E12,1F12,1C4,1B12,1G6,1B4,1G6,1C4,1E12,1A1,1C4,1B12,1B2,1A1,1B12,1G6,1C12,1B2,1B12,1G6,1C2,1A1,1C12,1A1,1C12,1E12,1B4,1G6,1B4
26,1C4,1C4,1A1,1C12,1B12,1E12,1C2,1C4,1B12,1C4,1B2,1G6,1E12,1G6,1B12,1B2,1E12,1E12,1B2,1B2,1G6,1C12,1B2,1C2,1C4,1A1,1A1,1C2,1C12,1G6,1F12,1B2
27,1B4,1C4,1B12,1E12,1C4,1C2,1C4,1F12,1B12,1F12,1C4,1B12,1C12,1C2,1B4,1F12,1G6,1E12,1E12,1F12,1F12,1E12,1C4,1A1,1F12,1C12,1B2,1A1,1A1,1A1,1F12,1A1
28,1B2,1C12,1G6,1B12,1F12,1G6,1C2,1B2,1B4,1A1,1B12,1C4,1B2,1A1,1C12,1C2,1B4,1A1,1G6,1E12,1G6,1B2,1C2,1C4,1C4,1B4,1A1,1B4,1B2,1A1,1B12,1B2
29,1E12,1E12,1C4,1A1,1B2,1G6,1B12,1C4,1A1,1B12,1A1,1C12,1B2,1A1,1B2,1C2,1C2,1C4,1B2,1B12,1E12,1F12,1B4,1B12,1B4,1G6,1B12,1E12,1F12,1G6,1B2,1B4
30,1B2,1B4,1F12,1B4,1C4,1C12,1E12,1G6,1B2,1G6,1B4,1C12,1C12,1F12,1E12,1B4,1A1,1C12,1C12,1F12,1C2,1F12,1C4,1B4,1B12,1B4,1B2,1B4,1A1,1C2,1C4,1C12
31,1B4,1B4,1C2,1B12,1C2,1C4,1F12,1C12,1G6,1B2,1B4,1E12,1C4,1E12,1E12,1C2,1C12,1C4,1E12,1G6,1F12,1G6,1B12,1B4,1C2,1B12,1C2,1C2,1G6,1G6,1B2,1C12
32,1G6,1E12,1C12,1C2,1E12,1F12,1F12,1C2,1G6,1E12,1F12,1G6,1A1,1E12,1F12,1B2,1B2,1B12,1B2,1A1,1B12,1C4,1B12,1B4,1E12,1B4,1G6,1C2,1C4,1C12,1F12,1B2
33,1C12,1A1,1C4,1B4,1B4,1F12,1B12,1G6,1C2,1F12,1F12,1G6,1G6,1C4,1A1,1F12,1E12,1C4,1B12,1G6,1B4,1B2,1F12,1C12,1F12,1G6,1A1,1E12,1C4,1C4,1B2,1E12
34,1A1,1B4,1C4,1A1,1B4,1B2,1B4,1G6,1C4,1B12,1B4,1G6,1A1,1A1,1C4,1A1,1G6,1C12,1C12,1E12,1G6,1B2,1E12,1A1,1F12,1C2,1C2,1F12,1C2,1A1,1C2,1C4
35,1C4,1C12,1B2,1G6,1C2,1B12,1A1,1E12,1B4,1C12,1F12,1E12,1F12,1B2,1B2,1C4,1A1,1B4,1C12,1C2,1B4,1C12,1F12,1A1,1B12,1C2,1B2,1C12,1C12,1B12,1C2,1E12
36,1F12,1A1,1E12,1F12,1G6,1B4,1B12,1A1,1F12,1C12,1C2,1B12,1C4,1B4,1G6,1B2,1B4,1B4,1B12,1B2,1C4,1B2,1G6,1C12,1F12,1A1,1A1,1E12,1F12,1A1,1B2,1C2
37,1E12,1C2,1C12,1B12,1B12,1C4,1C4,1A1,1B2,1F12,1C4,1B2,1B12,1A1,1B4,1C4,1E12,1C12,1B4,1B4,1B12,1G6,1C12,1B12,1C12,1B2,1G6,1B12,1C2,1C2,1C12,1B4
38,1B2,1B12,1A1,1C4,1B2,1G6,1F12,1E12,1C4,1C4,1B2,1C12,1G6,1A1,1E12,1G6,1F12,1C12,1B2,1B2,1C4,1A1,1C12,1C4,1E12,1C2,1B12,1F12,1B2,1E12,1A1,1C2
39,1C4,1B4,1A1,1F12,1A1,1G6,1C12,1C12,1C4,1F12,1C2,1B4,1C2,1E12,1C12,1A1,1B12,1G6,1B2,1C4,1C4,1E12,1B12,1C4,1G6,1B2,1B4,1C2,1C4,1C4,1B2,1B4
40,1B4,1E12,1B2,1E12,1F12,1E12,1C2,1C12,1C2,1G6,1B12,1B4,1C4,1C2,1G6,1F12,1B4,1C4,1C4,1A1,1C12,1C2,1B4,1C12,1B2,1C2,1F12,1E12,1B12,1B4,1F12,1E12
41,1B2,1F12,1C4,1E12,1B2,1C12,1B2,1B12,1A1,1F12,1B12,1C12,1B2,1A1,1B12,1B12,1G6,1C2,1C12,1B12,1B12,1C4,1B2,1B12,1F12,1C4,1B12,1E12,1C2,1F12,1C4,1C12
42,1B2,1A1,1E12,1F12,1B4,1F12,1C12,1B4,1A1,1G6,1B12,1C2,1F12,1C12,1C4,1C12,1B2,1C4,1C4,1C4,1A1,1B4,1B12,1B12,1A1,1A1,1B2,1E12,1C2,1B4,1B12,1F12
43,1C2,1C4,1A1,1G6,1B12,1C4,1B2,1C12,1E12,1C2,1F12,1C2,1C4,1A1,1B2,1B2,1C2,1C2,1E12,1E12,1F12,1G6,1B2,1C2,1C12,1B2,1E12,1B4,1G6,1B2,1C2,1C4
44,1F12,1A1,1G6,1C4,1B2,1G6,1B4,1C2,1C2,1B12,1E12,1C2,1B12,1B12,1B4,1C12,1B4,1E12,1B12,1E12,1G6,1A1,1B2,1F12,1C2,1F12,1B2,1E12,1E12,1C12,1C4,1F12
45,1B4,1F12,1G6,1E12,1G6,1G6,1B12,1A1,1G6,1C2,1C4,1C2,1A1,1G6,1C4,1G6,1A1,1B12,1G6,1B12,1F12,1F12,1C12,1C2,1E12,1B4,1B12,1C12,1C4,1C12,1C2,1B4
46,1C4,1B4,1B2,1B2,1F12,1B12,1G6,1B12,1A1,1E12,1B12,1C2,1B2,1C2,1C12,1C4,1B2,1B12,1F12,1G6,1B12,1B12,1B2,1C2,1B12,1E12,1B2,1C4,1G6,1E12,1B12,1F12
47,1B2,1B12,1A1,1B4,1B4,1B4,1A1,1C2,1F12,1F12,1C12,1A1,1C12,1C2,1C12,1C12,1F12,1C4,1B4,1B2,1G6,1B12,1C2,1C12,1B4,1B12,1B2,1F12,1B4,1C4,1C2,1F12
48,1F12,1C12,1A1,1C2,1B12,1G6,1B2,1F12,1F12,1C12,1C12,1F12,1B12,1F12,1G6,1B2,1C12,1B4,1F12,1G6,1C12,1C12,1A1,1C4,1A1,1B12,1B4,1C4,1E12,1G6,1C12,1B12
49,1C12,1C4,1F12,1B12,1C4,1C4,1C12,1C2,1A1,1A1,1G6,1C4,1G6,1B4,1B12,1B12,1B2,1C4,1B4,1C4,1F12,1B2,1E12,1F12,1C12,1B2,1B2,1B2,1F12,1C4,1B4,1C4
50,1A1,1B12,1C12,1B2,1F12,1E12,1E12,1B4,1G6,1B2,1F12,1B2,1B12,1B12,1F12,1B4,1C4,1F12,1B4,1C12,1A1,1B4,1C2,1C4,1A1,1C2,1C12,1B4,1B2,1C2,1F12,1B12
51,1B2,1A1,1G6,1B4,1A1,1B4,1C12,1B4,1G6,1B2,1C4,1C4,1B12,1C12,1C12,1G6,1G6,1E12,1A1,1B12,1A1,1E12,1G6,1C12,1A1,1C12,1G6,1C2,1B4,1E12,1C2,1G6
52,1E12,1C4,1B2,1B12,1C12,1F12,1E12,1C12,1C12,1B2,1C12,1F12,1C2,1B12,1E12,1B12,1C2,1G6,1C4,1F12,1A1,1B12,1F12,1B12,1E12,1B12,1B2,1F12,1C2,1F12,1B12,1A1
53,1B4,1B2,1C4,1B12,1G6,1B4,1G6,1C12,1B4,1C2,1A1,1G6,1F12,1C12,1B12,1B4,1A1,1B4,1G6,1F12,1C2,1G6,1C12,1A1,1C4,1C4,1B2,1C2,1C12,1B2,1C4,1B2
54,1C2,1G6,1A1,1G6,1B2,1C2,1B2,1B2,1E12,1B4,1B2,1B4,1B12,1C4,1E12,1B4,1C12,1A1,1C4,1C4,1B2,1G6,1C12,1A1,1E12,1E12,1A1,1B4,1E12,1C2,1E12,1F12
55,1B12,1C2,1B4,1C4,1A1,1C2,1E12,1C4,1A1,1F12,1C12,1E12,1B12,1C12,1B4,1G6,1C12,1B2,1G6,1E12,1E12,1C4,1C12,1B4,1B4,1F12,1A1,1B2,1A1,1G6,1B4,1A1
